date	store_name	rating
2021-11-10	West Avl	5
2021-11-10	West Avl	5
2021-11-10	West Avl	4
2021-11-10	West Avl	5
2021-11-10	West Avl	4
2021-11-10	West Avl	4
2021-11-10	West Avl	4
2021-11-10	West Avl	4
2021-11-10	East Avl	4
2021-11-10	East Avl	5
2021-11-10	East Avl	3
2021-11-10	East Avl	5
2021-11-10	East Avl	5
2021-11-10	East Avl	5
2021-11-10	East Avl	4
2021-11-10	East Avl	4
2021-11-10	East Avl	4
2021-11-10	Blk Mtn	5
2021-11-10	Blk Mtn	1
2021-11-10	Blk Mtn	4
2021-11-10	Blk Mtn	5
2021-11-10	Blk Mtn	5
2021-11-10	Blk Mtn	5
2021-11-10	Blk Mtn	5
2021-11-10	Blk Mtn	4
2021-11-10	Blk Mtn	5
2021-11-10	Blk Mtn	5
2021-11-10	Blk Mtn	5
2021-11-10	Blk Mtn	3
2021-11-10	Blk Mtn	5
2021-11-10	Blk Mtn	5
2021-11-10	Blk Mtn	5
2021-11-10	Blk Mtn	3
2021-11-10	Blk Mtn	5
2021-11-10	Lexington	4
2021-11-10	Lexington	4
2021-11-10	Lexington	3
2021-11-10	Lexington	4
2021-11-10	Lexington	3
2021-11-10	Lexington	3
2021-11-10	Lexington	3
2021-11-10	Lexington	4
2021-11-10	Lexington	3
2021-11-10	Lexington	4
2021-11-10	Lexington	3
2021-11-10	Lexington	5
2021-11-10	Lexington	3
2021-11-10	Lexington	3
2021-11-10	Lexington	5
2021-11-10	Lexington	4
2021-11-10	Lexington	5
2021-11-10	Lexington	5
2021-11-10	Lexington	5
2021-11-10	Lexington	2
2021-11-10	Lexington	2
2021-11-10	Lexington	2
2021-11-10	Lexington	1
2021-11-10	Lexington	4
2021-11-10	Lexington	4
2021-11-10	Lexington	5
2021-11-10	Lexington	3
2021-11-10	Lexington	5
2021-11-10	Lexington	3
2021-11-10	Lexington	5
2021-11-09	West Avl	4
2021-11-09	West Avl	3
2021-11-09	West Avl	3
2021-11-09	West Avl	3
2021-11-09	West Avl	3
2021-11-09	West Avl	5
2021-11-09	West Avl	4
2021-11-09	West Avl	5
2021-11-09	West Avl	4
2021-11-09	West Avl	2
2021-11-09	West Avl	4
2021-11-09	West Avl	3
2021-11-09	West Avl	4
2021-11-09	West Avl	3
2021-11-09	West Avl	3
2021-11-09	West Avl	5
2021-11-09	West Avl	4
2021-11-09	West Avl	2
2021-11-09	East Avl	5
2021-11-09	East Avl	5
2021-11-09	East Avl	3
2021-11-09	East Avl	5
2021-11-09	East Avl	5
2021-11-09	East Avl	5
2021-11-09	East Avl	5
2021-11-09	East Avl	3
2021-11-09	East Avl	4
2021-11-09	East Avl	4
2021-11-09	East Avl	4
2021-11-09	Blk Mtn	4
2021-11-09	Blk Mtn	4
2021-11-09	Blk Mtn	2
2021-11-09	Blk Mtn	5
2021-11-09	Blk Mtn	4
2021-11-09	Blk Mtn	5
2021-11-09	Blk Mtn	5
2021-11-09	Blk Mtn	3
2021-11-09	Blk Mtn	3
2021-11-09	Blk Mtn	3
2021-11-09	Blk Mtn	4
2021-11-09	Blk Mtn	5
2021-11-09	Blk Mtn	4
2021-11-09	Blk Mtn	3
2021-11-09	Blk Mtn	3
2021-11-09	Blk Mtn	4
2021-11-09	Lexington	5
2021-11-09	Lexington	4
2021-11-09	Lexington	4
2021-11-09	Lexington	4
2021-11-09	Lexington	3
2021-11-09	Lexington	5
2021-11-09	Lexington	4
2021-11-09	Lexington	4
2021-11-09	Lexington	4
2021-11-09	Lexington	4
2021-11-09	Lexington	4
2021-11-09	Lexington	4
2021-11-09	Lexington	5
2021-11-09	Lexington	4
2021-11-09	Lexington	4
2021-11-09	Lexington	5
2021-11-09	Lexington	3
2021-11-09	Lexington	4
2021-11-09	Lexington	5
2021-11-09	Lexington	4
2021-11-09	Lexington	3
2021-11-09	Lexington	5
2021-11-09	Lexington	3
2021-11-09	Lexington	3
2021-11-09	Lexington	5
2021-11-09	Lexington	3
2021-11-09	Lexington	5
2021-11-09	Lexington	2
2021-11-09	Lexington	4
2021-11-09	Lexington	1
2021-11-09	Lexington	4
2021-11-09	Lexington	1
2021-11-09	Lexington	4
2021-11-09	Lexington	4
2021-11-09	Lexington	4
2021-11-09	Lexington	3
2021-11-09	Lexington	4
2021-11-08	West Avl	5
2021-11-08	West Avl	5
2021-11-08	West Avl	4
2021-11-08	West Avl	5
2021-11-08	West Avl	5
2021-11-08	West Avl	5
2021-11-08	West Avl	3
2021-11-08	West Avl	5
2021-11-08	West Avl	5
2021-11-08	West Avl	5
2021-11-08	West Avl	5
2021-11-08	West Avl	5
2021-11-08	West Avl	3
2021-11-08	West Avl	4
2021-11-08	West Avl	4
2021-11-08	West Avl	4
2021-11-08	West Avl	5
2021-11-08	East Avl	5
2021-11-08	East Avl	5
2021-11-08	East Avl	4
2021-11-08	East Avl	5
2021-11-08	East Avl	4
2021-11-08	Blk Mtn	2
2021-11-08	Blk Mtn	4
2021-11-08	Blk Mtn	4
2021-11-08	Blk Mtn	2
2021-11-08	Blk Mtn	5
2021-11-08	Blk Mtn	4
2021-11-08	Blk Mtn	5
2021-11-08	Blk Mtn	4
2021-11-08	Blk Mtn	1
2021-11-08	Blk Mtn	4
2021-11-08	Blk Mtn	5
2021-11-08	Blk Mtn	3
2021-11-08	Lexington	4
2021-11-08	Lexington	5
2021-11-08	Lexington	5
2021-11-08	Lexington	4
2021-11-08	Lexington	5
2021-11-08	Lexington	5
2021-11-08	Lexington	4
2021-11-08	Lexington	4
2021-11-08	Lexington	4
2021-11-08	Lexington	5
2021-11-08	Lexington	3
2021-11-08	Lexington	3
2021-11-08	Lexington	5
2021-11-08	Lexington	4
2021-11-08	Lexington	5
2021-11-08	Lexington	5
2021-11-08	Lexington	4
2021-11-08	Lexington	3
2021-11-08	Lexington	5
2021-11-08	Lexington	3
2021-11-08	Lexington	3
2021-11-08	Lexington	5
2021-11-08	Lexington	5
2021-11-08	Lexington	3
2021-11-08	Lexington	5
2021-11-08	Lexington	4
2021-11-08	Lexington	5
2021-11-08	Lexington	4
2021-11-08	Lexington	5
2021-11-08	Lexington	4
2021-11-08	Lexington	5
2021-11-08	Lexington	4
2021-11-07	West Avl	4
2021-11-07	West Avl	5
2021-11-07	West Avl	5
2021-11-07	West Avl	3
2021-11-07	West Avl	3
2021-11-07	West Avl	5
2021-11-07	West Avl	3
2021-11-07	West Avl	4
2021-11-07	West Avl	3
2021-11-07	West Avl	3
2021-11-07	West Avl	4
2021-11-07	West Avl	5
2021-11-07	West Avl	4
2021-11-07	West Avl	4
2021-11-07	West Avl	3
2021-11-07	East Avl	5
2021-11-07	East Avl	3
2021-11-07	East Avl	4
2021-11-07	East Avl	3
2021-11-07	East Avl	5
2021-11-07	East Avl	3
2021-11-07	Blk Mtn	5
2021-11-07	Blk Mtn	1
2021-11-07	Blk Mtn	4
2021-11-07	Blk Mtn	5
2021-11-07	Blk Mtn	4
2021-11-07	Blk Mtn	4
2021-11-07	Blk Mtn	5
2021-11-07	Blk Mtn	5
2021-11-07	Blk Mtn	3
2021-11-07	Blk Mtn	5
2021-11-07	Blk Mtn	3
2021-11-07	Lexington	3
2021-11-07	Lexington	4
2021-11-07	Lexington	3
2021-11-07	Lexington	4
2021-11-07	Lexington	5
2021-11-07	Lexington	4
2021-11-07	Lexington	5
2021-11-07	Lexington	3
2021-11-07	Lexington	5
2021-11-07	Lexington	3
2021-11-07	Lexington	4
2021-11-07	Lexington	5
2021-11-07	Lexington	3
2021-11-07	Lexington	5
2021-11-07	Lexington	4
2021-11-07	Lexington	5
2021-11-07	Lexington	3
2021-11-07	Lexington	5
2021-11-07	Lexington	5
2021-11-07	Lexington	4
2021-11-07	Lexington	5
2021-11-07	Lexington	5
2021-11-07	Lexington	3
2021-11-07	Lexington	4
2021-11-07	Lexington	5
2021-11-07	Lexington	3
2021-11-07	Lexington	5
2021-11-07	Lexington	2
2021-11-07	Lexington	5
2021-11-07	Lexington	5
2021-11-06	West Avl	3
